State,Token
0,
1,(
2,)
3,quote
4,
5,boolean
6,
7,character
8,identifier
9,
10,string
11,
12,
13,comment
100,
101,decimal
102,
103,decimal
104,
105,
106,
107,
108,decimal
109,
110,
111,
112,
113,
114,decimal
115,
116,decimal
200,
201,binary
202,
203,binary
204,
205,
206,
207,
208,binary
209,
210,
211,
212,
213,
214,binary
215,
216,binary
800,
801,octal
802,
803,octal
804,
805,
806,
807,
808,octal
809,
810,
811,
812,
813,
814,octal
815,
816,octal
900,
901,hexidecimal
902,
903,hexidecimal
904,
905,
906,
907,
908,hexidecimal
909,
910,
911,
912,
913,
914,hexidecimal
915,
916,hexidecimal
